,Mode,Harmonic Index,Frequency [Hz]
1,1,0,0
2,2,0,5.60E-03
3,3,0,611.77
4,4,0,1217
5,5,0,2670.1
6,6,0,4539.2
7,1,1,0
8,2,1,0
9,3,1,4.34E-03
10,4,1,4.76E-03
11,5,1,411.12
12,6,1,411.12
13,1,2,398.67
14,2,2,398.67
15,3,2,1135.5
16,4,2,1135.5
17,5,2,2472.8
18,6,2,2472.8
19,1,3,398.66
20,2,3,398.66
21,3,3,1141.8
22,4,3,1141.8
23,5,3,2473
24,6,3,2473
25,1,4,398.65
26,2,4,398.65
27,3,4,1143.6
28,4,4,1143.6
29,5,4,2473
30,6,4,2473
31,1,5,398.65
32,2,5,1144.1
33,3,5,2473.1
34,4,5,4540.6
35,5,5,6582.3
36,6,5,6821.1
