Count	Mode	Harmonic Index	Frequency [Hz]
1	1	0	0
2	2	0	4.79E-02
3	3	0	376.27
4	4	0	1105
5	5	0	1566
6	6	0	1822.5
7	7	0	2829.3
8	8	0	3433.3
9	9	0	4135.9
10	10	0	4817.4
11	1	1	0
12	2	1	0
13	3	1	4.45E-02
14	4	1	4.45E-02
15	5	1	353.33
16	6	1	353.33
17	7	1	1090.1
18	8	1	1090.1
19	9	1	1596.4
20	10	1	1596.4
21	1	2	341.82
22	2	2	341.82
23	3	2	994.06
24	4	2	994.06
25	5	2	1168.4
26	6	2	1168.4
27	7	2	1626
28	8	2	1626
29	9	2	2752.7
30	10	2	2752.7
31	1	3	342.72
32	2	3	342.72
33	3	3	1075.8
34	4	3	1075.8
35	5	3	1570.6
36	6	3	1570.6
37	7	3	2022.2
38	8	3	2022.2
39	9	3	2835.7
40	10	3	2835.7
41	1	4	342.87
42	2	4	342.87
43	3	4	1079.4
44	4	4	1079.4
45	5	4	1587.9
46	6	4	1587.9
47	7	4	2346.8
48	8	4	2346.8
49	9	4	2882.8
50	10	4	2882.8
51	1	5	342.93
52	2	5	342.93
53	3	5	1080.5
54	4	5	1080.5
55	5	5	1591.7
56	6	5	1591.7
57	7	5	2454.3
58	8	5	2454.3
59	9	5	2911.5
60	10	5	2911.5
61	1	6	342.96
62	2	6	342.96
63	3	6	1081
64	4	6	1081
65	5	6	1593.3
66	6	6	1593.3
67	7	6	2499
68	8	6	2499
69	9	6	2928.5
70	10	6	2928.5
71	1	7	342.99
72	2	7	342.99
73	3	7	1081.3
74	4	7	1081.3
75	5	7	1594.1
76	6	7	1594.1
77	7	7	2520.5
78	8	7	2520.5
79	9	7	2938.4
80	10	7	2938.4
81	1	8	343
82	2	8	343
83	3	8	1081.5
84	4	8	1081.5
85	5	8	1594.5
86	6	8	1594.5
87	7	8	2530.7
88	8	8	2530.7
89	9	8	2943.5
90	10	8	2943.5
91	1	9	343
92	2	9	1081.5
93	3	9	1594.7
94	4	9	2533.7
95	5	9	2945.1
96	6	9	4103.1
97	7	9	4814.2
98	8	9	4955
99	9	9	6776.2
100	10	9	7380
