x, y
0.10274, -0.0031
0.2032, -0.00155
0.30137, -0.00465
0.39954, 0
0.5, -0.00155
0.60046, -0.00155
0.69863, -0.00155
0.80137, -0.0031
0.89726, -0.00155
1, -0.00155
1.10046, -0.00155
1.20091, -0.0062
1.29909, -0.00155
1.39954, -0.0031
1.50228, -0.0031
1.60274, -0.00155
1.70091, -0.00155
1.80137, -0.00155
1.84247, 0
1.84932, -0.02791
1.8653, -0.04806
1.88356, -0.06357
1.90411, -0.07907
1.92922, -0.09302
1.95662, -0.10543
1.97717, -0.11473
1.99315, -0.12403
2.02283, -0.13333
2.06164, -0.14574
2.09817, -0.15814
2.14612, -0.17519
2.20776, -0.1907
2.18265, -0.1876
2.24429, -0.2
2.28767, -0.2124
2.26941, -0.21085
2.31963, -0.22016
2.35616, -0.22946
2.38813, -0.23411
2.42694, -0.24031
2.46575, -0.24806
2.50228, -0.25426
2.5411, -0.26047
2.57763, -0.26357
2.60959, -0.26822
2.6347, -0.27132
2.65982, -0.27287
2.69178, -0.27597
2.74201, -0.27287
2.78767, -0.26512
2.78995, -0.28837
2.79224, -0.30698
2.94064, -0.57209
2.96347, -0.59845
2.98858, -0.62481
2.90183, -0.53023
2.88584, -0.50543
2.8516, -0.46512
2.83562, -0.43566
2.81507, -0.3969
2.80594, -0.37364
2.7968, -0.33488
2.78767, -0.23256
2.79452, -0.19845
2.80365, -0.16279
2.8105, -0.13178
2.81507, -0.09767
2.82648, -0.06202
2.83333, -0.03256
2.83105, 0
2.83105, 0.04031
2.8242, 0.07597
2.81735, 0.11318
2.80594, 0.15814
2.7968, 0.19225
2.79224, 0.22636
2.78995, 0.26512
2.99087, 0.62481
2.97032, 0.6062
2.95205, 0.58605
2.92466, 0.55659
2.90183, 0.52868
2.88128, 0.50698
2.8653, 0.48217
2.84018, 0.44806
2.82648, 0.42016
2.81507, 0.3938
2.80137, 0.36589
2.79452, 0.34109
2.78995, 0.30698
1.8516, 0.02946
1.87443, 0.05736
1.89726, 0.07287
1.92694, 0.08682
1.94977, 0.09922
1.98858, 0.11783
2.01598, 0.12713
2.04566, 0.14109
2.08219, 0.15194
2.11187, 0.16434
2.14384, 0.17519
2.17808, 0.1814
2.21689, 0.19535
2.25571, 0.2062
2.28767, 0.2093
2.3242, 0.22171
2.37215, 0.22946
2.44521, 0.24496
2.40639, 0.23566
2.47945, 0.25271
2.52055, 0.25736
2.56164, 0.26202
2.60731, 0.26822
2.65068, 0.26977
2.6895, 0.27287
2.72146, 0.27287
2.75799, 0.26977
2.86758, -0.48682
2.92009, -0.55349
2.82648, -0.4186
2.87215, 0
2.90411, 0
2.94064, 0
2.97032, -0.00155
