x, y
3.11021, 6.9927
99.86477, 7.0073
4.39486, 2.40876
5.27383, 2.33577
6.28803, 2.35036
7.23462, 2.39416
7.91075, 2.44526
8.72211, 2.49635
9.73631, 2.58394
10.68289, 2.65693
11.62948, 2.72263
13.52265, 2.86861
12.50845, 2.79562
14.2664, 2.93431
15.28059, 3.0073
16.15957, 3.07299
17.10615, 3.13869
17.8499, 3.19708
18.79648, 3.26277
19.8783, 3.34307
21.09533, 3.42336
22.24476, 3.49635
23.25896, 3.56934
24.40838, 3.64234
25.4902, 3.70803
26.30156, 3.75912
27.38337, 3.82482
28.32995, 3.88321
29.34415, 3.94161
30.56119, 4.0219
32.04868, 4.10219
33.06288, 4.16058
35.36173, 4.29197
37.2549, 4.40146
38.33671, 4.45255
39.68898, 4.52555
41.04124, 4.59854
42.12306, 4.64964
98.64773, 6.9562
43.47532, 4.71533
44.82759, 4.78832
46.17985, 4.83942
47.39689, 4.90511
48.68154, 4.9708
50.03381, 5.0292
51.5213, 5.10949
55.44287, 5.28467
53.95538, 5.21898
56.79513, 5.34307
57.87694, 5.39416
59.09398, 5.44526
60.37863, 5.50365
61.86613, 5.56934
63.96214, 5.64964
67.27519, 5.78832
66.12576, 5.73723
69.03313, 5.85401
70.99391, 5.93431
72.41379, 6
74.17174, 6.06569
76.20014, 6.14599
77.68763, 6.19708
79.98648, 6.29197
81.06829, 6.33577
82.1501, 6.37226
84.31373, 6.45255
86.13928, 6.51825
87.82961, 6.57664
89.38472, 6.63504
91.27789, 6.69343
92.22448, 6.72993
93.64435, 6.78102
95.67275, 6.85401
97.63354, 6.91971
52.80595, 5.16788
3.11021, 6.87591
3.11021, 6.73723
3.11021, 6.60584
3.11021, 6.48905
3.11021, 6.38686
3.11021, 6.25547
3.11021, 6.13869
3.11021, 6.0146
3.11021, 5.81022
3.11021, 5.66423
3.17782, 5.46715
3.11021, 5.08029
3.11021, 5.31387
3.17782, 5.19708
3.11021, 4.85401
3.11021, 4.73723
3.11021, 4.9562
3.11021, 4.51095
3.11021, 4.61314
3.11021, 4.37226
3.11021, 4.25547
3.11021, 4.11679
3.17782, 3.9927
3.24544, 3.86131
3.24544, 3.40146
3.31305, 3.26277
3.38066, 3.13139
3.5835, 2.75182
3.78634, 2.62774
4.12441, 2.50365
3.24544, 3.70803
3.31305, 3.56204
3.44828, 3.0073
3.51589, 2.88321
3.11021, 5.56934
3.11021, 5.90511
70.04733, 5.89781
63.01555, 5.61314
64.97634, 5.69343
68.22177, 5.82482
73.29277, 6.0292
75.11832, 6.10219
78.90467, 6.24818
83.23191, 6.41606
85.1927, 6.48905
86.95064, 6.54745
88.57336, 6.60584
90.3313, 6.67153
92.96822, 6.75912
94.59094, 6.81752
96.75456, 6.89051
34.34753, 4.23358
36.2407, 4.34307
